Features
bankssts_thickavg
caudalanteriorcingulate_thickavg
caudalmiddlefrontal_thickavg
cuneus_thickavg
entorhinal_thickavg
fusiform_thickavg
inferiorparietal_thickavg
inferiortemporal_thickavg
isthmuscingulate_thickavg
lateraloccipital_thickavg
lateralorbitofrontal_thickavg
lingual_thickavg
medialorbitofrontal_thickavg
middletemporal_thickavg
parahippocampal_thickavg
paracentral_thickavg
parsopercularis_thickavg
parsorbitalis_thickavg
parstriangularis_thickavg
pericalcarine_thickavg
postcentral_thickavg
posteriorcingulate_thickavg
precentral_thickavg
precuneus_thickavg
rostralanteriorcingulate_thickavg
rostralmiddlefrontal_thickavg
superiorfrontal_thickavg
superiorparietal_thickavg
superiortemporal_thickavg
supramarginal_thickavg
frontalpole_thickavg
temporalpole_thickavg
transversetemporal_thickavg
insula_thickavg
bankssts_surfavg
caudalanteriorcingulate_surfavg
caudalmiddlefrontal_surfavg
cuneus_surfavg
entorhinal_surfavg
fusiform_surfavg
inferiorparietal_surfavg
inferiortemporal_surfavg
isthmuscingulate_surfavg
lateraloccipital_surfavg
lateralorbitofrontal_surfavg
lingual_surfavg
medialorbitofrontal_surfavg
middletemporal_surfavg
parahippocampal_surfavg
paracentral_surfavg
parsopercularis_surfavg
parsorbitalis_surfavg
parstriangularis_surfavg
pericalcarine_surfavg
postcentral_surfavg
posteriorcingulate_surfavg
precentral_surfavg
precuneus_surfavg
rostralanteriorcingulate_surfavg
rostralmiddlefrontal_surfavg
superiorfrontal_surfavg
superiorparietal_surfavg
superiortemporal_surfavg
supramarginal_surfavg
frontalpole_surfavg
temporalpole_surfavg
transversetemporal_surfavg
insula_surfavg
bankssts_grayvol
caudalanteriorcingulate_grayvol
caudalmiddlefrontal_grayvol
cuneus_grayvol
entorhinal_grayvol
fusiform_grayvol
inferiorparietal_grayvol
inferiortemporal_grayvol
isthmuscingulate_grayvol
lateraloccipital_grayvol
lateralorbitofrontal_grayvol
lingual_grayvol
medialorbitofrontal_grayvol
middletemporal_grayvol
parahippocampal_grayvol
paracentral_grayvol
parsopercularis_grayvol
parsorbitalis_grayvol
parstriangularis_grayvol
pericalcarine_grayvol
postcentral_grayvol
posteriorcingulate_grayvol
precentral_grayvol
precuneus_grayvol
rostralanteriorcingulate_grayvol
rostralmiddlefrontal_grayvol
superiorfrontal_grayvol
superiorparietal_grayvol
superiortemporal_grayvol
supramarginal_grayvol
frontalpole_grayvol
temporalpole_grayvol
transversetemporal_grayvol
insula_grayvol
bankssts_thickstd
caudalanteriorcingulate_thickstd
caudalmiddlefrontal_thickstd
cuneus_thickstd
entorhinal_thickstd
fusiform_thickstd
inferiorparietal_thickstd
inferiortemporal_thickstd
isthmuscingulate_thickstd
lateraloccipital_thickstd
lateralorbitofrontal_thickstd
lingual_thickstd
medialorbitofrontal_thickstd
middletemporal_thickstd
parahippocampal_thickstd
paracentral_thickstd
parsopercularis_thickstd
parsorbitalis_thickstd
parstriangularis_thickstd
pericalcarine_thickstd
postcentral_thickstd
posteriorcingulate_thickstd
precentral_thickstd
precuneus_thickstd
rostralanteriorcingulate_thickstd
rostralmiddlefrontal_thickstd
superiorfrontal_thickstd
superiorparietal_thickstd
superiortemporal_thickstd
supramarginal_thickstd
frontalpole_thickstd
temporalpole_thickstd
transversetemporal_thickstd
insula_thickstd
bankssts_numvert
caudalanteriorcingulate_numvert
caudalmiddlefrontal_numvert
cuneus_numvert
entorhinal_numvert
fusiform_numvert
inferiorparietal_numvert
inferiortemporal_numvert
isthmuscingulate_numvert
lateraloccipital_numvert
lateralorbitofrontal_numvert
lingual_numvert
medialorbitofrontal_numvert
middletemporal_numvert
parahippocampal_numvert
paracentral_numvert
parsopercularis_numvert
parsorbitalis_numvert
parstriangularis_numvert
pericalcarine_numvert
postcentral_numvert
posteriorcingulate_numvert
precentral_numvert
precuneus_numvert
rostralanteriorcingulate_numvert
rostralmiddlefrontal_numvert
superiorfrontal_numvert
superiorparietal_numvert
superiortemporal_numvert
supramarginal_numvert
frontalpole_numvert
temporalpole_numvert
transversetemporal_numvert
insula_numvert
bankssts_meancurv
caudalanteriorcingulate_meancurv
caudalmiddlefrontal_meancurv
cuneus_meancurv
entorhinal_meancurv
fusiform_meancurv
inferiorparietal_meancurv
inferiortemporal_meancurv
isthmuscingulate_meancurv
lateraloccipital_meancurv
lateralorbitofrontal_meancurv
lingual_meancurv
medialorbitofrontal_meancurv
middletemporal_meancurv
parahippocampal_meancurv
paracentral_meancurv
parsopercularis_meancurv
parsorbitalis_meancurv
parstriangularis_meancurv
pericalcarine_meancurv
postcentral_meancurv
posteriorcingulate_meancurv
precentral_meancurv
precuneus_meancurv
rostralanteriorcingulate_meancurv
rostralmiddlefrontal_meancurv
superiorfrontal_meancurv
superiorparietal_meancurv
superiortemporal_meancurv
supramarginal_meancurv
frontalpole_meancurv
