,Features
198,L_superiortemporal_meancurv
199,L_supramarginal_meancurv
200,L_frontalpole_meancurv
201,L_temporalpole_meancurv
202,L_transversetemporal_meancurv
203,L_insula_meancurv
204,L_bankssts_gauscurv
205,L_caudalanteriorcingulate_gauscurv
206,L_caudalmiddlefrontal_gauscurv
207,L_cuneus_gauscurv
208,L_entorhinal_gauscurv
209,L_fusiform_gauscurv
210,L_inferiorparietal_gauscurv
211,L_inferiortemporal_gauscurv
212,L_isthmuscingulate_gauscurv
213,L_lateraloccipital_gauscurv
214,L_lateralorbitofrontal_gauscurv
215,L_lingual_gauscurv
216,L_medialorbitofrontal_gauscurv
217,L_middletemporal_gauscurv
218,L_parahippocampal_gauscurv
219,L_paracentral_gauscurv
220,L_parsopercularis_gauscurv
221,L_parsorbitalis_gauscurv
222,L_parstriangularis_gauscurv
223,L_pericalcarine_gauscurv
224,L_postcentral_gauscurv
225,L_posteriorcingulate_gauscurv
226,L_precentral_gauscurv
227,L_precuneus_gauscurv
228,L_rostralanteriorcingulate_gauscurv
229,L_rostralmiddlefrontal_gauscurv
230,L_superiorfrontal_gauscurv
231,L_superiorparietal_gauscurv
232,L_superiortemporal_gauscurv
233,L_supramarginal_gauscurv
234,L_frontalpole_gauscurv
235,L_temporalpole_gauscurv
236,L_transversetemporal_gauscurv
237,L_insula_gauscurv
238,L_bankssts_foldind
239,L_caudalanteriorcingulate_foldind
240,L_caudalmiddlefrontal_foldind
241,L_cuneus_foldind
242,L_entorhinal_foldind
243,L_fusiform_foldind
244,L_inferiorparietal_foldind
245,L_inferiortemporal_foldind
246,L_isthmuscingulate_foldind
247,L_lateraloccipital_foldind
248,L_lateralorbitofrontal_foldind
249,L_lingual_foldind
250,L_medialorbitofrontal_foldind
251,L_middletemporal_foldind
252,L_parahippocampal_foldind
253,L_paracentral_foldind
254,L_parsopercularis_foldind
255,L_parsorbitalis_foldind
256,L_parstriangularis_foldind
257,L_pericalcarine_foldind
258,L_postcentral_foldind
259,L_posteriorcingulate_foldind
260,L_precentral_foldind
